row_num,faci_stat_nm,faci_lat,ftype_nm,cpb_nm,addr_emd_nm,faci_lot,cp_nm,faci_mng_user_telno,faci_nm,faci_road_addr,faci_addr
1,정상운영,35.5056777,테니스장,밀양시,교동,128.744836,경상남도,055-359-5774,밀양스포츠센터 테니스장,경상남도 밀양시 시청로 28 (교동),경상남도 밀양시 교동 1121-3 미리벌관
2,정상운영,37.5136516,테니스장,송파구,방이동,127.1282217,서울특별시,02-410-1322,올림픽공원 테니스경기장,서울특별시 송파구 올림픽로 424 (방이동),
3,정상운영,37.21772965,테니스장,화성시,진안동,127.0319073,경기도,031-3696-273,진안공공공지 테니스장,경기도 화성시 병점중앙로 214-58 (진안동),경기도 화성시 진안동 121-2
4,정상운영,37.20401352,테니스장,화성시,반송동,127.0636027,경기도,031-5189-6188,센트럴파크 테니스장,경기도 화성시 동탄공원로1길 26-23(반송동),경기도 화성시 반송동 59
5,정상운영,37.2067964,테니스장,화성시,석우동,127.0782246,경기도,031-369-6273,테니스장(예당 임시체육시설),경기도 화성시 노작로 226-9 (석우동),경기도 화성시 석우동 60 동탄보건지소
6,정상운영,37.2054715,테니스장,화성시,영천동,127.106524,경기도,031-5189-6188,치동천체육공원 테니스장,경기도 화성시 동탄순환대로29길 38(영천동),경기도 화성시 영천동 670-2
7,정상운영,37.37705836,테니스장,정선군,애산리,128.6747444,강원도,033-560-2768,정선종합경기장 테니스장,강원도 정선군 정선읍 애산로 60,강원도 정선군 정선읍 애산리 768 정선종합경기장 정선체육관
8,정상운영,37.44477124,테니스장,시흥시,대야동,126.7960777,경기도,031-310-3159,대야동 테니스장,경기도 시흥시 은행로 246 (대야동),
9,정상운영,37.41596016,테니스장,시흥시,매화동,126.8227775,경기도,031-310-3159,매화1 체육공원 테니스장,경기도 시흥시 수인로2910번길 38(매화동),경기도 시흥시 매화동 151 매화체육공원
10,정상운영,37.34138527,테니스장,시흥시,거모동,126.7863093,경기도,031-310-3159,거모동 체육시설(테니스),경기도 시흥시 군자로534번길 19 (거모동),
11,정상운영,35.38982126,테니스장,창녕군,남지리,128.471959,경상남도,055-530-1486,남지테니스장,경상남도 창녕군 남지읍 낙동로 429,경상남도 창녕군 남지읍 남지리 723 남지초등학교
12,정상운영,,테니스장,익산시,,,전라북도,,금마다목적체육관테니스장,,
13,정상운영,37.10632999,테니스장,음성군,오향리,127.6486066,충청북도,043-871-2483,감곡생활체육공원 테니스장,충청북도 음성군 감곡면 감문1길 20,충청북도 음성군 감곡면 오향리 1188
14,정상운영,35.32300485,테니스장,양산시,범어리,129.0191764,경상남도,055-392-3403,(테니스장-08) 양산시립2테니스장,경남 양산시 물금읍 범어리 2822,경남 양산시 물금읍 범어리 2822
15,정상운영,37.44971058,테니스장,시흥시,대야동,126.7829186,경기도,031-310-3159,대야배수지(테니스장),경기도 시흥시 소래산길 37 (대야동),경기도 시흥시 대야동 332-80
16,정상운영,37.40557351,테니스장,시흥시,포동,126.7839428,경기도,031-310-3159,포동 생활체육공원(테니스장),경기도 시흥시 시흥대로789번길 14-3 (포동),
17,정상운영,37.44112691,테니스장,시흥시,은행동,126.7936378,경기도,031-310-3159,비둘기공원테니스장,경기도 시흥시 대은로 16-29 (은행동),
18,정상운영,37.37029224,테니스장,시흥시,능곡동,126.8153406,경기도,031-310-3159,능곡동 테니스장,경기도 시흥시 목실길 24 (능곡동),
19,정상운영,37.37621288,테니스장,시흥시,정왕동,126.738448,경기도,031-310-3159,배곧테니스장,"경기도 시흥시 배곧4로 81-29 (정왕동, 배곧센텀베이2차)",경기도 시흥시 정왕동 1772-21 배곧센텀베이2차
20,정상운영,37.33959888,테니스장,시흥시,정왕동,126.7570731,경기도,031-310-3159,정왕동 체육공원(테니스장),경기도 시흥시 역전로 50 (정왕동),
21,정상운영,37.33339952,테니스장,시흥시,정왕동,126.72562,경기도,031-310-3159,소망공원테니스장,경기 시흥시 정왕동 1368,경기 시흥시 정왕동 1368
22,정상운영,37.33593345,테니스장,시흥시,정왕동,126.7150487,경기도,031-310-3159,희망공원테니스장,경기도 시흥시 군자천로131번길 64 (정왕동),
23,정상운영,36.89558377,테니스장,봉화군,해저리,128.7289368,경상북도,054-679-6983,복합스포츠단지 테니스장,경상북도 봉화군 봉화읍 봉화로 1111-103,경상북도 봉화군 봉화읍 해저리 산4-18
24,정상운영,35.1862935,테니스장,하동군,병천리,127.8789541,경상남도,055-880-2384,옥종다목적생활공원 실내테니스장,경상남도 하동군 옥종면 옥종중앙길 120,경상남도 하동군 옥종면 병천리 484-1
25,정상운영,35.05923503,테니스장,하동군,,127.7504185,경상남도,055-880-6443,수변공원(섬진강)테니스장,하동읍 광평리 63-2,
26,정상운영,37.74751876,테니스장,의정부시,신곡동,127.0766386,경기도,031-828-4073,송산배수지테니스장,경기도 의정부시 부용로214번길 51(신곡동),경기도 의정부시 신곡동 53-464
27,정상운영,37.51369666,테니스장,송파구,방이동,127.1282105,서울특별시,02-410-1322,올림픽공원 실내테니스장,서울특별시 송파구 올림픽로 424 (방이동),
28,폐업,35.83628744,테니스장,,장동,128.5122459,대구광역시,053-803-4251,성서소각장테니스장,대구광역시 달서구 성서공단로 257(장동),대구광역시 달서구 장동 306-71
29,정상운영,37.48211007,테니스장,중구,운남동,126.5517455,인천광역시,032-760-7139,송산배수지 상부 테니스장,,인천 중구 운남동 1640-8
30,정상운영,35.37762612,테니스장,양산시,평산동,129.1434299,경상남도,055-392-3403,(테니스장-03) 웅상체육공원,경상남도 양산시 배움터길 60-19(평산동),경상남도 양산시 평산동 283 웅상체육공원
31,정상운영,37.04571617,테니스장,봉화군,석포리,129.0672486,경상북도,054-679-6644,석포테니스장,경상북도 봉화군 석포면 석포로 170-1 (영풍아파트),경상북도 봉화군 석포면 석포리 460 영풍아파트
32,정상운영,35.48427989,테니스장,양산시,초산리,129.0831166,경상남도,055-392-3403,(테니스장-06) 삼수권역체육공원,경상남도 양산시 하북면 충렬로 1699,경상남도 양산시 하북면 초산리 163
33,정상운영,35.34856074,테니스장,양산시,북부동,129.0354974,경상남도,055-392-3404,(테니스장-01) 양산종합운동장,경상남도 양산시 양산대로 849 (북부동),경상남도 양산시 북부동 533 양산종합운동장
34,정상운영,36.94353531,테니스장,봉화군,현동리,129.0050427,경상북도,054-679-6644,소천테니스장,,경북 봉화군 소천면 현동리 1136
35,정상운영,35.41161583,테니스장,양산시,삼호동,129.1822946,경상남도,055-392-3403,(테니스장-04) 서창운동장,경상남도 양산시 대운9길 16-85(삼호동),경상남도 양산시 삼호동 157
36,정상운영,36.49787653,테니스장,양산시,내송리,127.265434,경상남도,055-392-3403,(테니스장-10) 삽량체육공원,경상남도 양산시 동면 내송로 21[*미고시],경상남도 양산시 동면 내송리 산70-8
37,정상운영,35.30485099,테니스장,양산시,금산리,129.0198469,경상남도,055-392-3404,(테니스장-02) 수질정화공원,경상남도 양산시 동면 강변로 54,경상남도 양산시 동면 금산리 1216-27
38,정상운영,35.49982749,테니스장,양산시,지산리,129.0801489,경상남도,055-392-3403,(테니스장-07) 하북지산,경상남도 양산시 하북면 지내마을길 18,경상남도 양산시 하북면 지산리 46-1 지내마을회관
39,정상운영,37.1995372,테니스장,화성시,,126.8314774,경기도,031-5189-6188,화성시청 테니스장,경기도 화성시 동탄대로47번길 18(장지동),경기도 화성시 장지동 164-5
40,정상운영,37.21451892,테니스장,수원시,송산동,127.0211309,경기도,031-228-4301,화산체육공원,경기도 화성시 태안로 263 (송산동),
41,정상운영,37.17940588,테니스장,오산시,세교동,127.0421266,경기도,,세교2 실외테니스장,경기도 오산시 수목원로 541(세교동),경기도 오산시 세교동 627
42,정상운영,37.22421308,테니스장,화성시,,127.0763902,경기도,031-369-6273,테니스장(동학산공원(14호)),화성시 석우동 4,화성시 석우동 4
43,정상운영,37.16661735,테니스장,화성시,,126.7092544,경기도,031-369-6273,테니스장(서신생활체육시설),화성시 서신면 매화리 276-3,화성시 서신면 매화리 276-3
44,정상운영,37.74553264,테니스장,강화군,,126.520247,인천광역시,032-930-3228,강화클럽 테니스장,인천 강화군 강화읍 용정리 921-2,인천 강화군 강화읍 용정리 921-2
45,정상운영,37.21800543,테니스장,화성시,,127.0316595,경기도,031-369-6273,테니스장(진안공공공지),화성시 진안동 933 ,화성시 진안동 933 
46,정상운영,37.22039156,테니스장,화성시,배양동,126.9893999,경기도,031-369-6273,야생초공원(테니스장),경기도 화성시 융건로 105 (배양동),경기도 화성시 배양동 69-272
47,정상운영,37.2233994,테니스장,화성시,기안동,126.9774649,경기도,031-369-6273,해피트리공원(테니스장),경기도 화성시 효행로291번길 24 (기안동),경기도 화성시 기안동 910 신일해피트리아파트
48,정상운영,37.17028087,테니스장,화성시,,126.7670878,경기도,031-369-6273,테니스장(한화 바이오밸리),화성시 마도면 청원리 1249,화성시 마도면 청원리 1249
49,정상운영,37.74752607,테니스장,강화군,용정리,126.5221449,인천광역시,032-930-3228,고인돌클럽 테니스장,인천광역시 강화군 강화읍 해안북로 155,인천광역시 강화군 강화읍 용정리 6-8 고인돌테니스장
50,정상운영,37.63524173,테니스장,강화군,온수리,126.4973784,인천광역시,032-930-3228,강남 테니스장,인천광역시 강화군 길상면 길상로 244,인천광역시 강화군 길상면 온수리 605-26
51,정상운영,37.77621206,테니스장,강화군,,126.304834,인천광역시,032-930-3228,교동테니스장,,인천 강화군 교동면 상용리 876-11
52,정상운영,37.07795567,테니스장,화성시,,126.8342659,경기도,031-369-6273,테니스장(장안남산체육공원),화성시 장안면 사랑리 2-4,화성시 장안면 사랑리 2-4
53,정상운영,37.07635993,테니스장,화성시,,126.7914637,경기도,031-369-6273,테니스장(조암 공공하수처리장),화성시 우정읍 화산리 194,화성시 우정읍 화산리 194
54,정상운영,37.66468028,테니스장,강화군,,126.3489164,인천광역시,032-930-3228,매음리 테니스장,,인천 강화군 삼산면 매음리 265-7
55,정상운영,37.20547321,테니스장,화성시,,127.1065251,경기도,031-369-6273,테니스장(동탄1호체육공원),화성시 영천동 670-2,화성시 영천동 670-2
56,정상운영,37.13345498,테니스장,화성시,,126.9290266,경기도,031-369-6273,테니스장(도원체육공원),화성시 향남읍 행정리 478 ,화성시 향남읍 행정리 478 
57,정상운영,37.006933,테니스장,평택시,숙성리,126.982922,경기도,031-8024-8242 ,오성 체육시설 테니스장,경기도 평택시 오성면 숙성시장길 54-7,
58,정상운영,36.98937483,테니스장,평택시,현화리,126.9172583,경기도,031-8024-8242 ,안중 학현근린공원 테니스장,경기도 평택시 안중읍 서동대로 1489,
59,정상운영,36.96324113,테니스장,평택시,만호리,126.8504961,경기도,031-8024-8242 ,포승 만도체육시설 테니스장,경기도 평택시 포승읍 연암길 46 (만도아파트),
60,정상운영,37.20401189,테니스장,화성시,,127.0636047,경기도,031-369-6273,테니스장(동탄센트럴파크),화성시 반송동 59  ,화성시 반송동 59  
61,정상운영,37.21604011,테니스장,화성시,,126.7236211,경기도,031-369-6273,테니스장(사강리 동네 체육시설),"화성시 송산면 사강리 365-25, 357-4","화성시 송산면 사강리 365-25, 357-4"
62,정상운영,37.54503589,테니스장,서구,심곡동,126.6755957,인천광역시,032-560-4745,청사2부지 테니스장,인천광역시 서구 서곶로 307 (심곡동),
63,정상운영,35.62452935,테니스장,북구,상안동,129.3448701,울산광역시,,상안테니스장,울산광역시 북구 농서로 9-1 (상안동),울산광역시 북구 상안동  26-2
64,정상운영,36.02088225,테니스장,서천군,성주리,126.7022161,충청남도,041-950-6859,장항테니스장,충청남도 서천군 장항읍 성주길16번길 10-6,
65,정상운영,37.75300445,테니스장,강릉시,홍제동,128.8751686,강원도,,시청테니스장,강원도 강릉시 강릉대로 33 (홍제동),강원도 강릉시 홍제동  1001 강릉시청
66,정상운영,37.47555874,테니스장,,가좌동,126.6772121,인천광역시,032-440-4084,가좌테니스장,인천광역시 서구 가좌로11번길 7 (가좌동),
67,정상운영,37.39649213,테니스장,광주시,중대동,127.2308413,경기도,031-760-3722,중대 테니스장,경기도 광주시 순암로 175 (중대동),경기도 광주시 중대동  5-4
68,정상운영,37.2935667,테니스장,광주시,유정리,127.3268807,경기도,031-760-3722,도척그린공원테니스장,경기도 광주시 도척면 도척로 690,경기도 광주시 도척면 유정리 211-5
69,정상운영,34.93876123,테니스장,순천시,연향동,127.5210244,전라남도,061-749-8483,생활체육테니스장,전라남도 순천시 팔마로 333 (연향동),
70,정상운영,,테니스장,홍성군,,,충청남도,,광천생활체육공원테니스장,,
71,정상운영,35.59085496,테니스장,북구,신현동,129.4192518,울산광역시,,무룡테니스장,울산광역시 북구 구남1길 53-1 (신현동),울산광역시 북구 신현동  산210-4
72,정상운영,37.29754926,테니스장,원주시,반계리,127.8026897,강원도,,문막공단테니스장,강원도 원주시 문막읍 문막공단길 42,강원도 원주시 문막읍 반계리 5-2
73,정상운영,37.48010578,테니스장,,십정동,126.6915918,인천광역시,032-440-4325,"열우물테니스,스쿼시경기장",인천광역시 부평구 열우물로 164 (십정동),
74,정상운영,37.18580622,테니스장,영월군,영흥리,128.4781053,강원도,033-370-2918,금강테니스장,강원도 영월군 영월읍 금강공원길 143,강원도 영월군 영월읍 영흥리 80-2
75,정상운영,,테니스장,노원구,,,서울특별시,02-2289-6854,공릉배수지테니스장,,
76,정상운영,,테니스장,제주시,,,제주특별자치도,,한림테니스장,,
77,정상운영,,테니스장,김해시,,,경상남도,,한림테니스장,,
78,정상운영,37.56633904,테니스장,하남시,망월동,127.1960221,경기도,031-790-5250,종합운동장테니스장,경기도 하남시 아리수로 600 (망월동),경기도 하남시 망월동  200
79,정상운영,,테니스장,울진군,,,경상북도,,울진종합운동장테니스장,,
80,정상운영,38.37566258,테니스장,고성군,상리,128.4635968,강원도,033-6803-714,간성테니스장,강원도 고성군 간성읍 수성로 111,강원도 고성군 간성읍 상리 439-1 종합운동장
81,정상운영,37.4695302,테니스장,부천시,,126.8041089,경기도,032-625-2501,소사1배수지테니스장,경기 부천시 소사본동 297-5,경기 부천시 소사본동 297-5
82,정상운영,35.32853726,테니스장,기장군,방곡리,129.1838921,부산광역시,051-709-4121,정관체육시설테니스장,부산광역시 기장군 정관읍 정관중앙로 138-11,부산광역시 기장군 정관읍 방곡리 442
83,정상운영,37.8645663,테니스장,춘천시,석사동,127.7558574,강원도,,호반테니스장,강원도 춘천시 우석로 102-1 (석사동),강원도 춘천시 석사동 77 호반테니스장
84,정상운영,37.51300122,테니스장,송파구,,127.1407531,서울특별시,,오륜테니스장,방이동 439-8,서울 송파구 방이동 439-8
85,정상운영,,테니스장,고양시,,,경기도,,고양시립테니스장,,성사동 산 552
86,정상운영,35.86279245,테니스장,서구,중리동,128.5331595,대구광역시,053-663-2173,상리테니스장,대구광역시 서구 평리로17길 45 (중리동),
87,정상운영,35.11227216,테니스장,사천시,봉계리,127.9417592,경상남도,055-831-2421,곤명테니스장,경상남도 사천시 곤명면 원전새길 64,
88,정상운영,37.77618338,테니스장,홍천군,창촌리,128.3945188,강원도,033-430-4505,내면테니스장,강원도 홍천군 내면 대한동길 10-9,
89,정상운영,37.9713221,테니스장,포천시,,127.3266491,경기도,,영북테니스장,일동면 수입리 69-9,경기 포천시 일동면 수입리 69-9
90,정상운영,,테니스장,순창군,,,전라북도,063-650-5525,공설운동장다목적구장,,
91,정상운영,35.19393887,테니스장,동래구,,129.0641526,부산광역시,051-500-2133,사직종합운동장테니스장,,사직2동 930
92,정상운영,34.77190532,테니스장,영암군,난전리,126.4066594,전라남도,061-470-6891,마골테니스장,전라남도 영암군 삼호읍 대불로 533-6,
93,정상운영,34.99100603,테니스장,무안군,,126.4813282,전라남도,,무안테니스장,무안읍 성동리 712,전남 무안군 무안읍 성동리 712
94,정상운영,36.59548211,테니스장,문경시,모전동,128.1862564,경상북도,054-550-6093,문경시민정구장,경상북도 문경시 점고길 20 (모전동),경상북도 문경시 모전동  500 실내정구장
95,정상운영,37.77377603,테니스장,옹진군,소청리,124.7508604,인천광역시,032-899-2262,소청리테니스장,인천광역시 옹진군 대청면 소청동로 69-13,
96,정상운영,35.58344674,테니스장,장수군,신창리,127.3935315,전라북도,063-350-5552,산서체육공원 테니스장,전라북도 장수군 산서면 신덕길 10-15,
97,정상운영,35.25434372,테니스장,장성군,주산리,126.6714377,전라남도,061-390-7255,삼계테니스장,전라남도 장성군 삼계면 주산2길 12,
98,정상운영,,테니스장,당진시,,,충청남도,,합덕읍테니스장,,
99,정상운영,37.51894831,테니스장,부평구,삼산동,126.7521763,인천광역시,032-509-6973,삼산테니스장,인천광역시 부평구 두레로 34-7 (삼산동),
100,정상운영,37.32610977,테니스장,용인시,,127.1048222,경기도,,수지레스피아테니스장,죽전동 1003-235,경기 용인시 수지구 죽전동 1003-235
101,정상운영,,테니스장,남동구,,,인천광역시,,남동종합문화체육4호광장테니스장,,
102,정상운영,,테니스장,천안시,,,충청남도,,병천체육시설,,
103,정상운영,,테니스장,양구군,,,강원도,033-480-2961,해안면테니스장,,
104,정상운영,34.61552354,테니스장,고흥군,호형리,127.3003186,전라남도,061-830-6728,고흥생활체육공원 테니스장,전라남도 고흥군 고흥읍 고흥로 1892-67,전라남도 고흥군 고흥읍 호형리 914
105,정상운영,,테니스장,전주시,,,전라북도,063-281-2937,덕진체련공원테니스장,,
106,정상운영,37.23846226,테니스장,삼척시,도계리,129.0464236,강원도,,도원테니스장,강원도 삼척시 도계읍 도계우회로 74,강원도 삼척시 도계읍 도계리 315-2
107,정상운영,37.84033955,테니스장,파주시,,126.746397,경기도,031-940-5234,탄현체육공원 테니스장,문산읍 내포리 산140-1,
108,정상운영,37.825878,테니스장,가평군,대곡리,127.5039072,경기도,031-580-2147,가평테니스장,경기도 가평군 가평읍 문화로 131,
109,정상운영,37.22013055,테니스장,정선군,조동리,128.6715453,강원도,033-560-2635,신동테니스장,강원도 정선군 신동읍 새골2길 3-1,강원도 정선군 신동읍 조동리 223-1
110,정상운영,35.83243606,테니스장,,월암동,128.495556,대구광역시,053-803-6034,성서산업단지체육시설내테니스장,대구광역시 달서구 성서공단로22길 25 (월암동),대구광역시 달서구 월암동  1-18
111,정상운영,,테니스장,목포시,,,전라남도,061-284-2035,부주산테니스장,,
112,정상운영,34.76099406,테니스장,여수시,오림동,127.7228875,전라남도,061-659-4683,진남테니스장,전라남도 여수시 진남체육관길 74 (오림동),전라남도 여수시 오림동  104 진남경기장
113,정상운영,35.06191915,테니스장,함평군,내교리,126.5128247,전라남도,061-322-2613,구룡테니스장,전라남도 함평군 함평읍 내대화길 77,전라남도 함평군 함평읍 내교리 272 함평초등학교
114,정상운영,,테니스장,영주시,,,경상북도,,영주시민테니스장,가흥1동 산21-1,가흥1동 산21-1
115,정상운영,36.30307261,테니스장,옥천군,문정리,127.5758051,충청북도,043-730-4884,옥천공설정구장,충청북도 옥천군 옥천읍 관성로 53,
116,정상운영,37.64441745,테니스장,노원구,,127.0508165,서울특별시,02-2289-6854,초안산근린공원테니스장,월계동 산 1,서울 노원구 월계동 산 1
117,정상운영,37.60837839,테니스장,김포시,,126.7668112,경기도,031-980-2586,고촌파르코스공원테니스장,고촌면 신곡리 산58-12,경기 김포시 고촌읍 신곡리 산 58-12
118,정상운영,35.5574011,테니스장,정읍시,상동,126.8659458,전라북도,063-539-5255,상동테니스장,전라북도 정읍시 상동중앙로 2 (상동),
119,정상운영,36.16497619,테니스장,영동군,매천리,127.7832989,충청북도,043-740-5995,실내테니스장,충청북도 영동군 영동읍 영동황간로 123,
120,폐업,37.18589063,테니스장,영월군,하송리,128.4613169,강원도,033-370-2918,구 보건소 테니스장,강원도 영월군 영월읍 하송로 46-43,
121,정상운영,36.23709577,테니스장,군위군,동부리,128.5738995,경상북도,054-380-7213,군위종합테니스장,경상북도 군위군 군위읍 군청로 158,
122,정상운영,,테니스장,창원시,,,경상남도,,대방체육공원테니스장,,
123,정상운영,35.7329761,테니스장,장수군,봉덕리,127.5313889,전라북도,063-350-5552,천천 전천후체육관 테니스장,전라북도 장수군 천천면 고금길 3,
124,정상운영,,테니스장,김제시,,,전라북도,,시민운동장테니스장,,
125,정상운영,36.96192498,테니스장,평택시,,127.0528836,경기도,031-8024-3391,안정근린공원팽성테니스장,팽성읍 송화리 27-4,
126,정상운영,36.43151173,테니스장,,송강동,127.3867508,대전광역시,042-270-4481,송강실내테니스장,대전광역시 유성구 대덕대로 1173 (송강동),
127,정상운영,34.85185549,테니스장,거제시,서정리,128.5815351,경상남도,055-639-3914,거제스포츠파크테니스장,경상남도 거제시 거제면 거제남서로 3485-17,
128,정상운영,37.75551717,테니스장,의정부시,금오동,127.0678504,경기도,031-828-6882,행정타운실내배드민턴장,경기도 의정부시 금오로23번길 28 (금오동),경기도 의정부시 금오동  225-2
129,정상운영,35.40018793,테니스장,군산시,,127.3738107,전라북도,,월명공원테니스장,금동 9-1,금동 9-1
130,정상운영,37.4985909,테니스장,부천시,원미동,126.79642,경기도,032-625-2501,원미운동장 테니스장,경기도 부천시 소사로 457 (원미동),경기도 부천시 원미동 14-1 원미공원테니스장
131,정상운영,34.75684737,테니스장,영암군,용앙리,126.4510446,전라남도,061-470-6891,삼호테니스장,전라남도 영암군 삼호읍 대불주거9로 27,
132,정상운영,,테니스장,창원시,,,경상남도,,중앙체육공원테니스장,,
133,정상운영,35.91163096,테니스장,,서변동,128.598055,대구광역시,053-605-8108,신천하수처리장테니스장,대구광역시 북구 조야로2길 209 (서변동),
134,정상운영,37.28851677,테니스장,용인시,신갈동,127.0985495,경기도,031-324-6051,신갈고가하부테니스장,,경기 용인시 기흥구 신갈동 536-27
135,폐업,37.54021799,테니스장,,신장동,127.2123265,,02-2144-8055,하남시테니스연합회신장코트,경기도 하남시 하남대로776번길 14-25 (신장동),
136,정상운영,37.774696,테니스장,강릉시,교동,128.8965989,강원도,,강릉테니스장,강원도 강릉시 종합운동장길 69 (교동),강원도 강릉시 교동  2-10 강릉종합운동장
137,정상운영,,테니스장,아산시,,,충청남도,,강변테니스장,,
138,정상운영,35.95082525,테니스장,군산시,산월리,126.8156544,전라북도,,군산국민체육센터테니스장,전라북도 군산시 대야면 석화로 63-15,전라북도 군산시 대야면 산월리 795-1 군산국민체육센터
139,정상운영,37.20172014,테니스장,여주시,,127.5337279,경기도,,가남체육공원테니스장,가남읍 태평리 533-2,경기 여주시 가남읍 태평리 533-2
140,정상운영,36.31375939,테니스장,보령시,옥동리,126.6039303,충청남도,041-930-4970,보령테니스장,충청남도 보령시 남포면 보령남로 347,충청남도 보령시 남포면 옥동리 331-11
141,정상운영,,테니스장,여수시,학동,,전라남도,061-659-4670,여천시립테니스장,전라남도 여수시 시청로 1 (학동),전라남도 여수시 학동 100 여수시청 본청사
142,정상운영,37.54607252,테니스장,용산구,한남동,127.0028969,서울특별시,02-2199-7593,응봉근린공원한남구민테니스장,서울특별시 용산구 한남대로 204 (한남동),서울특별시 용산구 한남동 726-370
143,정상운영,34.88233118,테니스장,거제시,능포동,128.7379767,경상남도,055-639-3914,능포테니스장,경상남도 거제시 능포로8길 21 (능포동),
144,정상운영,,테니스장,완주군,,,전라북도,,완주산업단지제2테니스장,,
145,정상운영,,테니스장,양평군,,,경기도,,서종생활체육공원테니스장,,
146,정상운영,35.23106648,테니스장,창원시,,128.6956941,경상남도,,창원종합테니스장,토월동 709,경남 창원시 성산구 토월동 709
147,정상운영,37.22443761,테니스장,용인시,,127.188319,경기도,,용인실내종합테니스장,남동 산38-2,경기 용인시 처인구 남동 산 38-2
